t,SC_ECEF_x_km,SC_ECEF_y_km,SC_ECEF_z_km,elevation_degree,illuminated_boolean,
2021.04.17 08:28:46,4133.02,-1216.54,5209.86,61.6892,30,
2021.04.17 08:28:47,4133.92,-1208.98,5210.9,62.5534,30,
2021.04.17 08:28:48,4134.81,-1201.42,5211.95,63.4295,30,
2021.04.17 08:28:49,4135.7,-1193.86,5212.98,64.3175,30,
2021.04.17 08:28:50,4136.58,-1186.3,5214.01,65.2172,30,
2021.04.17 08:28:51,4137.46,-1178.74,5215.03,66.1283,30,
2021.04.17 08:28:52,4138.33,-1171.18,5216.05,67.0505,30,
2021.04.17 08:28:53,4139.2,-1163.61,5217.05,67.9837,30,
2021.04.17 08:28:54,4140.06,-1156.04,5218.05,68.9274,30,
2021.04.17 08:28:55,4140.91,-1148.47,5219.05,69.8813,30,
2021.04.17 08:28:56,4141.76,-1140.9,5220.04,70.8449,30,
2021.04.17 08:28:57,4142.61,-1133.33,5221.02,71.8177,30,
2021.04.17 08:28:58,4143.45,-1125.76,5221.99,72.7991,30,
2021.04.17 08:28:59,4144.28,-1118.18,5222.96,73.7885,30,
2021.04.17 08:29:00,4145.11,-1110.61,5223.92,74.785,30,
2021.04.17 08:29:01,4145.93,-1103.03,5224.88,75.7879,30,
2021.04.17 08:29:02,4146.75,-1095.45,5225.82,76.7959,30,
2021.04.17 08:29:03,4147.56,-1087.87,5226.76,77.8079,30,
2021.04.17 08:29:04,4148.37,-1080.29,5227.7,78.8221,30,
2021.04.17 08:29:05,4149.17,-1072.71,5228.62,79.8364,30,
2021.04.17 08:29:06,4149.97,-1065.12,5229.54,80.8482,30,
2021.04.17 08:29:07,4150.76,-1057.54,5230.46,81.8533,30,
2021.04.17 08:29:08,4151.55,-1049.95,5231.37,82.8461,30,
2021.04.17 08:29:09,4152.33,-1042.36,5232.27,83.8174,30,
2021.04.17 08:29:10,4153.1,-1034.77,5233.16,84.7522,30,
2021.04.17 08:29:11,4153.87,-1027.18,5234.05,85.6239,30,
2021.04.17 08:29:12,4154.64,-1019.59,5234.93,86.3836,30,
2021.04.17 08:29:13,4155.4,-1011.99,5235.8,86.9437,30,
2021.04.17 08:29:14,4156.15,-1004.4,5236.67,87.181,30,
2021.04.17 08:29:15,4156.9,-996.802,5237.53,87.0169,30,
2021.04.17 08:29:16,4157.64,-989.205,5238.38,86.5077,30,
2021.04.17 08:29:17,4158.38,-981.606,5239.22,85.7776,30,
2021.04.17 08:29:18,4159.11,-974.006,5240.06,84.9224,30,
